KR4e0146	小鳴稿-明-朱誠泳
KR4e0147	懷星堂集-明-祝允明
KR4e0149	東江家藏集-明-顧清
KR4e0155	清惠集-明-劉麟
KR4e0156	沙溪集-明-孫緒
KR4e0157	王文成全書-明-王守仁
KR4e0162	大復集-明-何景明
KR4e0165	儼山集-明-陸深
KR4e0171	升菴集-明-楊愼
KR4e0173	文簡集-明-孫承恩
KR4e0174	方齋存稿-明-林文俊
KR4e0177	小山類稿-明-張岳
KR4e0179	甫田集-明-文徵明
KR4e0197	青霞集-明-沈鍊
KR4e0201	弇州四部稿-明-王世貞
KR4e0202	讀書後-明-王世貞
KR4e0203	方麓集-明-王樵
KR4e0205	海壑吟稿-明-趙完璧
KR4e0210	衡廬精舍藏稿-明-胡直
KR4e0214	溫恭毅集-明-溫純
KR4e0215	震川集-明-歸有光
KR4e0217	蠛蠓集-明-盧柟
KR4e0218	少室山房集-明-胡應麟
KR4e0225	高子遺書-明-高攀龍
KR4e0229	願學集-明-鄒元標
KR4e0231	學古緒言-明-婁堅
KR4e0236	白谷集-明-孫傳庭
KR4f0001	聖祖仁皇帝御製文集-清-聖祖玄燁
KR4f0005	御製詩集-清-高宗弘曆
KR4f0006	亭林詩集-淸-
KR4f0008	南雷文案-淸-
KR4f0010	牧齋初學集-淸-
KR4f0012	梅村集-清-吳偉業
KR4f0013	梅村家藏藁-淸-
KR4f0015	兼濟堂文集-清-魏裔介
